geo_id,county,state,has_occupied_units,pct_renter,pct_rent_burden_30_plus,pct_rent_burden_50_plus,pct_overcrowded_renter,renter_population,pct_housing_pre_1980,pct_poverty_under_100,pct_low_income_households,median_household_income,pct_elderly_65_plus,pct_children_under_18,pct_white,pct_black,pct_asian,pct_hispanic,pct_living_alone,pct_limited_english
36005000100,Bronx County,New York,False,,,,,0,,,,,3.08,0.0,33.53,44.68,0.44,21.36,,3.19
36005000200,Bronx County,New York,True,39.97,24.59,18.53,10.95,1816,69.07,12.88,9.53,123729,14.88,17.78,12.09,33.29,7.63,60.58,9.82,12.95
36005000400,Bronx County,New York,True,39.77,51.86,16.74,6.01,2055,32.86,4.47,10.64,105924,14.06,21.15,2.15,35.82,1.85,64.14,24.12,8.99
36005001600,Bronx County,New York,True,77.96,68.1,33.74,16.81,4232,78.01,15.16,30.92,52147,21.65,18.84,2.76,40.88,4.53,57.26,26.16,13.58
36005001901,Bronx County,New York,True,90.25,61.62,33.8,3.95,2131,30.09,22.45,32.9,58083,3.23,21.37,10.97,53.1,3.05,43.14,45.17,1.05
36005001902,Bronx County,New York,True,91.83,61.79,38.03,23.73,1463,74.89,39.56,33.65,48953,3.17,11.45,4.28,19.53,1.3,50.94,43.11,12.36
36005001903,Bronx County,New York,False,,,,,0,,,,,,,,,,,,
36005001904,Bronx County,New York,False,,,,,0,,,,,,,,,,,,
36005002001,Bronx County,New York,True,100.0,55.13,21.03,2.89,4199,81.12,52.39,64.03,22311,15.43,28.05,10.72,35.53,0.0,61.28,36.9,7.61
36005002002,Bronx County,New York,True,77.77,56.76,19.77,9.17,2539,82.44,42.97,62.11,18649,32.22,13.36,13.58,25.08,2.72,77.67,44.03,18.28
36005002300,Bronx County,New York,True,100.0,58.42,29.73,9.87,4562,96.32,60.3,66.49,16332,12.28,30.48,6.81,36.7,0.0,64.35,30.51,18.67
36005002400,Bronx County,New York,False,,,,,0,,74.29,,,0.0,9.52,0.0,75.24,0.0,14.29,,14.29
36005002500,Bronx County,New York,True,97.65,63.38,33.58,19.97,4840,84.34,44.84,42.74,35582,10.22,25.25,4.73,21.13,0.0,78.39,30.88,23.12
36005002701,Bronx County,New York,True,97.58,53.6,38.7,19.78,3066,84.69,46.74,60.9,20266,20.19,37.16,3.05,23.43,1.16,78.72,33.67,18.99
36005002702,Bronx County,New York,True,93.0,75.32,50.64,17.95,3903,67.29,46.07,47.77,30895,8.84,23.76,3.23,29.93,0.69,72.72,26.24,23.39
36005002800,Bronx County,New York,True,83.0,38.77,17.65,12.84,4524,90.51,8.22,16.46,58068,15.62,19.19,8.97,59.01,0.0,45.31,48.15,2.38
36005003100,Bronx County,New York,True,85.03,66.33,35.4,11.44,2465,52.49,21.95,18.07,59297,8.5,31.96,29.09,37.45,11.76,63.34,20.05,14.02
36005003300,Bronx County,New York,True,79.16,55.19,31.23,9.15,2705,39.62,43.25,48.67,31289,14.96,29.91,2.35,32.09,0.0,68.8,28.56,19.97
36005003500,Bronx County,New York,True,97.34,54.08,24.64,12.23,3266,64.44,22.41,33.33,36569,13.59,28.93,6.29,40.97,2.64,69.41,24.65,10.58
36005003700,Bronx County,New York,True,100.0,12.41,6.57,0.0,394,85.23,29.97,14.09,53029,8.13,31.34,8.37,41.39,0.0,78.23,8.05,19.35
36005003800,Bronx County,New York,True,48.47,80.0,33.94,8.95,510,69.98,32.31,27.04,54214,15.76,23.28,15.6,12.08,7.12,81.2,42.35,15.87
36005003900,Bronx County,New York,True,92.13,55.93,34.02,20.55,5075,60.1,37.09,57.35,25625,15.7,27.49,7.56,4.03,0.88,85.59,46.38,16.32
36005004001,Bronx County,New York,True,39.26,51.81,12.65,0.52,440,91.8,8.58,14.72,78935,28.83,21.02,5.8,14.68,34.39,45.75,20.45,15.36
36005004100,Bronx County,New York,True,98.26,63.57,58.31,17.2,5680,76.57,53.9,74.15,14592,12.14,28.82,4.63,33.69,0.94,68.94,49.96,17.84
36005004200,Bronx County,New York,True,87.6,47.59,22.99,9.65,6799,82.86,15.65,26.03,55404,16.42,25.87,17.43,45.82,0.35,67.16,23.32,10.15
36005004300,Bronx County,New York,True,86.19,68.6,39.83,12.9,4335,69.2,47.15,53.05,23393,14.74,29.85,12.56,32.3,0.0,67.37,41.35,16.52
36005004400,Bronx County,New York,True,96.1,54.53,24.93,3.92,3851,86.12,38.2,53.22,24375,13.9,23.73,14.32,35.6,3.02,63.44,28.46,11.49
36005004600,Bronx County,New York,True,77.71,75.26,45.49,9.3,1074,79.47,51.39,49.1,30714,20.16,27.81,9.81,36.33,0.0,64.95,40.51,11.34
36005004800,Bronx County,New York,True,97.13,63.65,40.23,25.5,3876,97.33,25.5,46.13,35870,10.09,28.62,8.11,18.51,0.86,81.33,27.3,34.79
36005005001,Bronx County,New York,True,88.05,74.15,48.3,23.59,4110,87.64,55.94,43.46,33632,7.83,31.43,1.87,31.82,1.46,67.53,23.47,20.09
36005005002,Bronx County,New York,True,93.83,75.34,47.32,26.25,5605,92.69,38.37,45.85,34688,7.55,30.88,1.88,25.47,0.0,71.57,28.83,31.87
36005005100,Bronx County,New York,True,93.52,61.46,22.77,11.64,6960,56.99,38.18,57.82,25851,17.08,31.84,8.35,52.06,1.21,60.46,37.68,12.04
36005005200,Bronx County,New York,True,85.12,47.18,29.47,8.38,1464,84.9,37.89,42.31,39743,15.73,26.73,8.93,30.05,0.0,71.04,26.94,15.45
36005005300,Bronx County,New York,True,98.64,82.53,56.55,9.99,4016,90.83,63.89,66.79,20608,8.83,28.63,5.46,58.03,0.0,37.71,43.31,8.7
36005005400,Bronx County,New York,True,89.18,62.57,31.25,16.86,4905,95.95,24.84,28.36,54884,8.83,31.36,1.09,29.77,0.0,69.45,15.15,23.48
36005005600,Bronx County,New York,True,84.59,59.83,37.68,18.68,2153,100.0,43.7,41.25,41684,18.63,22.07,1.0,16.39,3.08,73.01,34.99,23.8
36005005902,Bronx County,New York,True,64.36,69.6,46.44,13.75,2174,90.78,34.12,25.54,51364,16.1,14.74,25.94,24.61,0.63,51.87,47.59,13.19
36005006000,Bronx County,New York,True,90.67,57.14,33.14,23.43,1115,71.5,14.48,23.32,78269,15.86,27.5,1.8,18.44,0.0,83.83,23.32,17.03
36005006100,Bronx County,New York,True,56.16,38.24,23.2,2.66,2078,97.65,10.71,24.21,72123,27.22,13.27,2.85,80.47,0.89,15.97,50.03,0.0
36005006200,Bronx County,New York,True,98.78,54.61,31.47,12.85,6310,97.08,47.12,54.95,27453,15.37,31.64,3.68,38.94,0.35,68.13,25.43,25.41
36005006301,Bronx County,New York,True,82.3,66.13,45.8,19.47,5207,68.68,34.46,32.28,59924,12.6,16.38,16.01,41.56,0.95,50.38,34.06,14.18
36005006302,Bronx County,New York,False,,,,,0,,,,,,,,,,,,
36005006400,Bronx County,New York,True,83.48,74.72,52.14,13.24,3241,90.61,41.22,40.6,41429,10.52,27.37,11.68,26.11,1.86,58.2,25.6,17.36
36005006500,Bronx County,New York,True,96.12,59.77,42.38,9.78,4402,32.94,54.26,56.93,22740,10.21,27.67,24.32,41.54,1.37,52.23,37.55,9.63
36005006700,Bronx County,New York,True,98.22,70.7,30.12,27.19,7291,75.95,54.88,49.05,30191,10.19,33.61,2.65,25.07,0.48,81.25,44.77,20.66
36005006800,Bronx County,New York,True,71.0,93.86,77.47,14.98,1838,93.3,34.78,42.22,32550,21.28,28.64,12.31,14.48,14.63,62.75,22.73,23.31
36005006900,Bronx County,New York,True,96.82,72.76,44.12,12.14,5531,44.34,39.13,56.04,26608,16.36,19.52,10.93,33.96,0.86,71.55,36.6,22.16
36005007000,Bronx County,New York,True,72.22,74.6,36.74,15.02,2953,80.25,34.98,35.73,40417,16.08,23.03,10.39,22.55,17.79,45.83,23.64,17.57
36005007100,Bronx County,New York,True,75.49,74.96,61.18,8.57,2098,22.27,36.44,57.39,23148,18.93,14.9,6.77,37.86,2.92,63.32,50.46,10.07
36005007200,Bronx County,New York,True,66.89,56.58,26.63,30.82,3439,96.03,18.68,25.85,58244,18.8,18.16,6.4,11.25,41.22,39.24,26.28,24.95
36005007300,Bronx County,New York,True,91.89,69.26,39.91,24.66,3992,80.47,39.77,50.06,29978,12.07,32.25,10.75,36.28,0.83,60.76,33.33,16.7
36005007400,Bronx County,New York,True,73.55,57.25,40.55,13.04,2592,64.83,19.27,30.23,69363,21.1,22.56,4.51,55.76,0.0,51.77,33.94,3.74
36005007500,Bronx County,New York,True,85.56,58.59,36.87,13.28,5570,42.97,43.33,44.2,34259,13.4,32.21,8.53,28.51,0.94,74.48,31.69,9.81
36005007600,Bronx County,New York,True,74.04,72.18,44.8,8.01,3451,93.93,20.42,36.22,53320,14.28,22.85,4.32,25.93,18.34,51.77,26.84,17.58
36005007700,Bronx County,New York,True,80.03,58.24,29.01,16.84,1485,54.38,27.21,23.13,50733,10.94,19.53,4.12,26.96,1.83,72.63,26.62,14.01
36005007800,Bronx County,New York,True,72.41,73.4,51.74,15.01,3648,94.58,29.31,38.87,47216,9.14,29.31,15.52,19.92,1.81,60.96,39.86,13.74
36005007900,Bronx County,New York,True,98.43,57.38,31.18,7.9,6381,76.72,31.25,41.48,43081,12.2,30.11,1.42,30.66,0.0,77.64,15.15,19.5
36005008300,Bronx County,New York,True,89.25,49.12,30.28,11.09,5312,75.71,30.15,38.18,48634,9.11,23.65,3.07,15.19,0.27,85.7,24.27,17.96
36005008400,Bronx County,New York,True,30.69,48.73,19.43,8.6,759,83.38,15.48,11.93,63631,16.83,22.65,10.88,45.01,8.53,53.22,45.75,6.84
36005008500,Bronx County,New York,True,82.37,47.37,29.44,10.65,4229,69.35,26.86,39.93,41535,11.17,25.76,5.4,32.77,3.07,69.52,34.17,15.56
36005008600,Bronx County,New York,True,90.19,66.02,27.98,4.86,3399,95.67,48.05,64.97,22671,19.67,19.07,2.99,38.84,3.17,56.27,31.74,17.02
36005008700,Bronx County,New York,True,94.07,58.01,44.13,9.25,5363,39.8,36.95,42.75,40188,11.79,30.47,5.31,30.71,0.0,70.7,31.23,18.1
36005008900,Bronx County,New York,True,94.95,67.37,36.46,6.34,2679,38.83,25.83,41.83,35914,28.79,14.11,12.58,18.28,0.0,78.3,42.42,24.39
