geo_id,county,state,has_occupied_units,pct_renter,pct_rent_burden_30_plus,pct_rent_burden_50_plus,pct_overcrowded_renter,renter_population,pct_housing_pre_1980,pct_poverty_under_100,pct_low_income_households,median_household_income,pct_elderly_65_plus,pct_children_under_18,pct_white,pct_black,pct_asian,pct_hispanic,pct_living_alone,pct_limited_english
36001000100,Albany County,New York,True,55.01,56.14,19.49,17.8,1459,82.0,23.67,26.69,51551,19.31,23.71,38.88,31.6,0.57,20.88,25.76,0.74
36001000201,Albany County,New York,True,69.68,47.95,37.4,0.0,2006,69.31,23.6,37.1,54013,14.34,13.91,21.83,59.48,3.21,13.68,35.21,2.11
36001000202,Albany County,New York,True,66.38,59.19,38.58,0.0,1376,56.74,34.62,31.36,41952,8.07,30.5,7.4,68.88,11.39,4.48,45.91,7.61
36001000301,Albany County,New York,True,68.57,60.74,48.15,0.0,1737,89.83,36.45,38.27,42912,5.98,25.21,34.33,44.24,3.34,10.07,33.11,1.69
36001000302,Albany County,New York,True,70.37,76.16,50.16,0.0,1709,43.95,19.97,33.67,44730,28.35,9.65,63.35,24.72,4.61,6.64,65.37,2.68
36001000401,Albany County,New York,True,33.58,57.87,28.37,0.0,528,14.73,9.08,12.3,83359,49.75,3.58,81.3,8.65,4.0,3.13,58.19,0.04
36001000403,Albany County,New York,True,39.37,50.32,32.28,0.0,1558,93.8,12.39,17.68,111646,12.8,11.82,80.09,10.7,4.25,4.63,26.92,2.78
36001000404,Albany County,New York,True,100.0,68.54,7.87,0.0,118,19.64,0.0,7.22,,0.24,2.51,58.85,20.37,5.9,18.27,76.29,0.39
36001000501,Albany County,New York,True,80.45,59.46,39.71,2.23,2830,77.37,40.89,55.0,28311,9.23,17.83,37.06,36.74,12.14,13.87,48.7,0.3
36001000502,Albany County,New York,True,69.44,53.77,28.41,0.0,1192,93.5,24.58,28.07,57115,5.81,6.41,58.47,20.22,5.92,12.7,41.68,2.39
