NAME,B18101_001E,B18101_004E,B18101_007E,B18101_010E,B18101_013E,B18101_016E,B18101_019E,B18101_023E,B18101_026E,B18101_029E,B18101_032E,B18101_035E,B18101_038E,state,county,tract
Census Tract 1; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,000100
Census Tract 2; Bronx County; New York,5177,0,3,95,271,17,61,0,0,19,102,23,157,36,005,000200
Census Tract 4; Bronx County; New York,6481,0,30,72,295,21,55,0,26,35,154,64,67,36,005,000400
Census Tract 16; Bronx County; New York,5818,0,120,107,175,93,108,0,20,47,234,193,196,36,005,001600
Census Tract 19.01; Bronx County; New York,2398,16,71,86,101,0,4,0,47,7,98,31,0,36,005,001901
Census Tract 19.02; Bronx County; New York,1968,0,15,40,81,10,7,0,0,0,111,6,9,36,005,001902
Census Tract 19.03; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,001903
Census Tract 19.04; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,001904
Census Tract 20.01; Bronx County; New York,4300,0,0,207,136,0,0,0,118,157,282,58,349,36,005,002001
Census Tract 20.02; Bronx County; New York,3689,0,0,0,290,60,119,0,0,0,287,92,295,36,005,002002
Census Tract 23; Bronx County; New York,4527,0,131,69,153,18,43,0,65,136,399,119,196,36,005,002300
Census Tract 24; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,002400
Census Tract 25; Bronx County; New York,5460,0,13,0,124,31,16,0,18,146,456,129,121,36,005,002500
Census Tract 27.01; Bronx County; New York,2830,0,43,0,37,21,53,0,77,0,123,211,75,36,005,002701
Census Tract 27.02; Bronx County; New York,5156,19,19,79,94,92,0,0,35,95,236,151,77,36,005,002702
Census Tract 28; Bronx County; New York,5420,0,64,53,241,58,76,0,33,151,411,177,238,36,005,002800
Census Tract 31; Bronx County; New York,2641,0,41,45,40,36,14,0,0,22,123,12,0,36,005,003100
Census Tract 33; Bronx County; New York,3407,0,26,11,29,24,66,0,27,95,109,82,18,36,005,003300
Census Tract 35; Bronx County; New York,3529,0,414,7,102,48,10,0,69,21,169,73,65,36,005,003500
Census Tract 37; Bronx County; New York,285,0,0,8,0,0,0,0,0,0,35,25,0,36,005,003700
Census Tract 38; Bronx County; New York,1215,0,0,40,10,1,43,0,0,0,46,55,27,36,005,003800
Census Tract 39; Bronx County; New York,6346,0,120,48,312,98,20,0,69,128,161,34,318,36,005,003900
Census Tract 40.01; Bronx County; New York,1378,0,26,5,17,0,43,0,0,0,18,9,45,36,005,004001
Census Tract 41; Bronx County; New York,6229,0,67,60,277,87,27,0,0,0,672,274,133,36,005,004100
Census Tract 42; Bronx County; New York,7944,0,39,109,44,88,66,0,34,0,407,79,158,36,005,004200
Census Tract 43; Bronx County; New York,5041,0,97,93,248,128,0,0,66,43,509,216,70,36,005,004300
Census Tract 44; Bronx County; New York,4140,0,56,25,119,16,12,0,0,2,138,88,128,36,005,004400
Census Tract 46; Bronx County; New York,1784,0,7,0,37,13,21,0,70,10,241,47,41,36,005,004600
