StateFIPS,State,CensusTract,Census Tract,Year,Annual number of extreme heat days,Data Comment,,"Heat Metric""Relative Threshold"
36,New York,36001000100,"Albany County, NY - 36001000100",2013,29,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000100,"Albany County, NY - 36001000100",2014,16,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000100,"Albany County, NY - 36001000100",2015,31,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000100,"Albany County, NY - 36001000100",2016,42,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000100,"Albany County, NY - 36001000100",2017,18,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000100,"Albany County, NY - 36001000100",2018,32,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000100,"Albany County, NY - 36001000100",2019,21,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000100,"Albany County, NY - 36001000100",2020,39,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000100,"Albany County, NY - 36001000100",2021,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000100,"Albany County, NY - 36001000100",2022,27,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000100,"Albany County, NY - 36001000100",2023,23,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000201,"Albany County, NY - 36001000201",2013,29,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000201,"Albany County, NY - 36001000201",2014,16,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000201,"Albany County, NY - 36001000201",2015,31,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000201,"Albany County, NY - 36001000201",2016,42,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000201,"Albany County, NY - 36001000201",2017,18,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000201,"Albany County, NY - 36001000201",2018,32,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000201,"Albany County, NY - 36001000201",2019,21,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000201,"Albany County, NY - 36001000201",2020,39,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000201,"Albany County, NY - 36001000201",2021,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000201,"Albany County, NY - 36001000201",2022,27,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000201,"Albany County, NY - 36001000201",2023,23,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000202,"Albany County, NY - 36001000202",2013,29,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000202,"Albany County, NY - 36001000202",2014,16,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000202,"Albany County, NY - 36001000202",2015,31,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000202,"Albany County, NY - 36001000202",2016,42,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000202,"Albany County, NY - 36001000202",2017,18,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000202,"Albany County, NY - 36001000202",2018,32,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000202,"Albany County, NY - 36001000202",2019,21,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000202,"Albany County, NY - 36001000202",2020,39,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000202,"Albany County, NY - 36001000202",2021,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000202,"Albany County, NY - 36001000202",2022,27,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000202,"Albany County, NY - 36001000202",2023,23,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000301,"Albany County, NY - 36001000301",2013,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000301,"Albany County, NY - 36001000301",2014,18,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000301,"Albany County, NY - 36001000301",2015,31,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000301,"Albany County, NY - 36001000301",2016,42,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000301,"Albany County, NY - 36001000301",2017,18,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000301,"Albany County, NY - 36001000301",2018,33,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000301,"Albany County, NY - 36001000301",2019,19,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000301,"Albany County, NY - 36001000301",2020,37,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000301,"Albany County, NY - 36001000301",2021,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000301,"Albany County, NY - 36001000301",2022,27,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000301,"Albany County, NY - 36001000301",2023,24,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000302,"Albany County, NY - 36001000302",2013,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000302,"Albany County, NY - 36001000302",2014,18,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000302,"Albany County, NY - 36001000302",2015,31,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000302,"Albany County, NY - 36001000302",2016,42,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000302,"Albany County, NY - 36001000302",2017,18,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000302,"Albany County, NY - 36001000302",2018,33,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000302,"Albany County, NY - 36001000302",2019,19,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000302,"Albany County, NY - 36001000302",2020,37,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000302,"Albany County, NY - 36001000302",2021,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000302,"Albany County, NY - 36001000302",2022,27,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000302,"Albany County, NY - 36001000302",2023,24,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000401,"Albany County, NY - 36001000401",2013,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000401,"Albany County, NY - 36001000401",2014,18,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000401,"Albany County, NY - 36001000401",2015,31,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000401,"Albany County, NY - 36001000401",2016,42,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000401,"Albany County, NY - 36001000401",2017,18,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000401,"Albany County, NY - 36001000401",2018,33,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000401,"Albany County, NY - 36001000401",2019,19,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000401,"Albany County, NY - 36001000401",2020,37,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000401,"Albany County, NY - 36001000401",2021,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000401,"Albany County, NY - 36001000401",2022,27,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000401,"Albany County, NY - 36001000401",2023,24,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000403,"Albany County, NY - 36001000403",2013,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000403,"Albany County, NY - 36001000403",2014,18,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000403,"Albany County, NY - 36001000403",2015,31,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000403,"Albany County, NY - 36001000403",2016,42,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000403,"Albany County, NY - 36001000403",2017,18,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000403,"Albany County, NY - 36001000403",2018,33,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000403,"Albany County, NY - 36001000403",2019,19,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000403,"Albany County, NY - 36001000403",2020,37,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
