PUBLICATION_DATE,NTA_Code,NTA_Name,NTAAbbrev,Baseline,Control_Scenario_Temperature,Planned_Action_Temperature,Percent_Managed_by_Action
5/1/25,BK0101,Greenpoint,Grnpt,87.31,93.72,93.53,-2.96
5/1/25,BK0102,Williamsburg,Wllmsbrg,87.37,93.79,93.59,-3.15
5/1/25,BK0103,South Williamsburg,SWllmsbrg,87.35,93.79,93.4,-5.97
5/1/25,BK0104,East Williamsburg,EWllmsbrg,87.36,93.78,93.58,-3.16
5/1/25,BK0201,Brooklyn Heights,BkHts,86.44,92.83,92.81,-0.45
5/1/25,BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,DwntwnBk,86.9,93.32,93.22,-1.56
5/1/25,BK0203,Fort Greene,FtGrn,86.71,93.1,92.8,-4.64
5/1/25,BK0204,Clinton Hill,ClntnHl,86.69,93.09,92.74,-5.38
5/1/25,BK0261,Brooklyn Navy Yard,BkNvyYrd,87.39,93.81,93.38,-6.8
5/1/25,BK0301,Bedford-Stuyvesant (West),BdSty_W,86.99,93.42,93.02,-6.22
5/1/25,BK0302,Bedford-Stuyvesant (East),BdSty_E,86.84,93.25,92.91,-5.27
5/1/25,BK0401,Bushwick (West),Bshwck_W,87.47,93.9,93.77,-2.09
5/1/25,BK0402,Bushwick (East),Bshwck_E,86.93,93.31,92.96,-5.52
5/1/25,BK0471,The Evergreens Cemetery,EvrgrnsCem,85.94,92.02,92.03,0.22
5/1/25,BK0501,Cypress Hills,CyprssHls,86.5,92.7,92.65,-0.78
5/1/25,BK0502,East New York (North),ENY_N,86.99,93.4,93.12,-4.25
5/1/25,BK0503,East New York-New Lots,ENY_NwLts,86.86,93.24,93.1,-2.11
5/1/25,BK0504,Spring Creek-Starrett City,SpCrk_StrC,86.27,92.55,92.52,-0.51
5/1/25,BK0505,East New York-City Line,ENY_CtyLn,86.76,93.13,92.96,-2.69
5/1/25,BK0571,Highland Park-Cypress Hills Cemeteries (South),CyHlsCem_S,85.53,91.4,91.62,3.71
5/1/25,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,CrrllGrdns,87,93.4,93.31,-1.44
5/1/25,BK0602,Park Slope,PkSlp,86.64,92.96,92.76,-3.31
5/1/25,BK0701,Windsor Terrace-South Slope,WndsrTr,86.34,92.59,92.57,-0.35
5/1/25,BK0702,Sunset Park (West),SnstPk_W,86.42,92.71,92.56,-2.4
5/1/25,BK0703,Sunset Park (Central),SnstPk_C,87.2,93.62,93.54,-1.28
5/1/25,BK0771,Green-Wood Cemetery,GrnWdCem,82.41,87.37,88.02,13.07
5/1/25,BK0801,Prospect Heights,PrspctHts,86.86,93.18,92.65,-8.37
5/1/25,BK0802,Crown Heights (North),CrwnHts_N,86.78,93.2,92.96,-3.67
5/1/25,BK0891,Lincoln Terrace Park,LclnTrPk,86.54,92.96,92.88,-1.18
5/1/25,BK0901,Crown Heights (South),CrwnHts_S,87.06,93.47,93.41,-0.89
5/1/25,BK0902,Prospect Lefferts Gardens-Wingate,PLG_Wngt,87.14,93.52,93.28,-3.8
5/1/25,BK1001,Bay Ridge,ByRdg,86.8,93.2,92.84,-5.59
5/1/25,BK1002,Dyker Heights,DykrHts,86.93,93.32,93.22,-1.57
5/1/25,BK1061,Fort Hamilton,FtHmltn,86.64,93.01,92.84,-2.67
5/1/25,BK1091,Dyker Beach Park,DykrBchPk,84.2,89.68,89.44,-4.38
5/1/25,BK1101,Bensonhurst,Bnsnhrst,87.4,93.83,93.7,-1.98
5/1/25,BK1102,Bath Beach,BthBch,86.99,93.36,93.16,-3.1
5/1/25,BK1103,Gravesend (West),Grvsnd_W,87.28,93.7,93.59,-1.75
5/1/25,BK1201,Sunset Park (East)-Borough Park (West),SnstPk_E,87.13,93.54,93.4,-2.16
5/1/25,BK1202,Borough Park,BoroPk,87.12,93.54,93.25,-4.54
5/1/25,BK1203,Kensington,Knsngtn,86.8,93.21,92.82,-6.18
5/1/25,BK1204,Mapleton-Midwood (West),Mpltn,86.62,92.95,92.84,-1.66
5/1/25,BK1301,Gravesend (South),Grvsnd_S,86.55,92.95,92.89,-0.88
5/1/25,BK1302,Coney Island-Sea Gate,CnyIsl,86.19,92.48,92.39,-1.47
5/1/25,BK1303,Brighton Beach,BrghtnBch,87.09,93.51,93.45,-0.89
5/1/25,BK1391,Calvert Vaux Park,ClvrtVxPk,87.21,93.58,93.55,-0.44
5/1/25,BK1401,Flatbush,Fltbsh,86.88,93.29,93.05,-3.73
5/1/25,BK1402,Flatbush (West)-Ditmas Park-Parkville,Fltbsh_W,86.65,93.04,92.87,-2.64
5/1/25,BK1403,Midwood,Mdwd,86.65,93.04,92.8,-3.67
5/1/25,BK1501,Gravesend (East)-Homecrest,Grvsnd_E,86.83,93.24,93.04,-3.19
5/1/25,BK1502,Madison,Mdsn,86.63,93.01,92.89,-1.9
5/1/25,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,ShpshdBy,86.22,92.55,92.38,-2.77
5/1/25,BK1601,Ocean Hill,OcnHl,86.85,93.26,93.01,-4
5/1/25,BK1602,Brownsville,Brwnsvl,86.82,93.23,92.94,-4.59
5/1/25,BK1701,East Flatbush-Erasmus,EFb_Ersms,87.16,93.6,93.45,-2.32
5/1/25,BK1702,East Flatbush-Farragut,EFb_Frrgt,86.89,93.28,93.09,-2.94
5/1/25,BK1703,East Flatbush-Rugby,EFb_Rgby,86.85,93.19,93.11,-1.38
5/1/25,BK1704,East Flatbush-Remsen Village,EFb_RmsnVl,87.24,93.66,93.51,-2.32
5/1/25,BK1771,Holy Cross Cemetery,HlyCrssCem,85.99,92.05,92.06,0.25
5/1/25,BK1801,Flatlands,Fltlnds,86.54,92.93,92.74,-2.89
5/1/25,BK1802,Marine Park-Mill Basin-Bergen Beach,MrnPk_MBsn,86.51,92.87,92.66,-3.39
5/1/25,BK1803,Canarsie,Cnrsie,86.55,92.89,92.72,-2.71
5/1/25,BK1891,Marine Park-Plumb Island,MrnPk_PIsl,85.74,91.96,91.93,-0.56
5/1/25,BK1892,McGuire Fields,McGrFlds,86.53,92.79,92.62,-2.78
5/1/25,BK1893,Canarsie Park & Pier,CnrsiePk,84.19,90.12,90.1,-0.28
5/1/25,BK5591,Prospect Park,PrspctPk,86.62,92.47,92.58,1.98
5/1/25,BK5691,Barren Island-Floyd Bennett Field,BrrnIsl,85.18,91.21,91.11,-1.68
5/1/25,BK5692,Jamaica Bay (West),JmcaBy_W,81.92,87.69,87.7,0.15
5/1/25,BK5693,Shirley Chisholm State Park,ShChshlmPk,86.22,92.51,92.49,-0.18
5/1/25,BX0101,Mott Haven-Port Morris,MttHvn,86.8,93.22,93.16,-0.85
